"","alpha","beta","sigma.alpha","sigma.beta","V5","V6","V7","V8"
"theta.hat.ipd0",0.5,0.404959356256619,0.5,0.381273344988796,0,0.00699836950677646,0,0.0100991955870176
"theta.hat.ipd20",0.478500048263263,0.404996811558352,0.435599889063059,0.375018247396147,0.0249843481232578,0.00693689221986356,0.0289603528980618,0.00989241781183714
"theta.hat.ipd40",0.481900145036371,0.405093104040733,0.446143446846215,0.368953959528528,0.0127893445867297,0.00687772072670792,0.01451445385886,0.00965270784107587
"theta.hat.ipd60",0.484979954017993,0.405227252077342,0.451267324849092,0.36321900020327,0.0086487011712761,0.00682230748760245,0.00972362250039836,0.00946116039160421
"theta.hat.ipd80",0.483138238872233,0.405047855070206,0.45362112544546,0.356868987374006,0.00653948608390957,0.00676193287655018,0.00730823205117919,0.00924060769111091
"theta.hat.ipd100",0.483598623037159,0.404989231753181,0.456846131876415,0.351170331320303,0.00528062298694025,0.00670754719505503,0.00589522234202411,0.00905005246515293
