"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",0,0.0161715886739903,0,0.0233055242971792
"theta.hat.ipd20",0.0293079310603215,0.0161203708607818,0.028604389874008,0.0247172141198437
"theta.hat.ipd40",0.0145122228684126,0.0160753838107088,0.0174784742798478,0.0261016237999398
"theta.hat.ipd60",0.0095622103157655,0.0159964067837099,0.0117731043118254,0.0274068813241183
"theta.hat.ipd80",0.00739939486369977,0.0159924874506558,0.00929525427476584,0.0287429342312684
"theta.hat.ipd100",0.00598890289283709,0.0159583021202982,0.00748113649437098,0.0300700058521948
