,alpha,beta,sigma.alpha,sigma.beta,,
theta.hat.ipd0.1,NA,0.986825902,NA,1.290328432,,0.987
theta.hat.ipd20.1,0.204346321,0.989942922,0.261562185,1.216592228,,0.99
theta.hat.ipd40.1,0.412672036,0.992706635,0.428076745,1.152033061,,0.993
theta.hat.ipd60.1,0.626301198,0.997634356,0.635459321,1.097189604,,0.998
theta.hat.ipd80.1,0.809362245,0.997880429,0.804719161,1.046196787,,0.998
theta.hat.ipd100.1,1,1,1,1,,1
