"","V5","V6","V7","V8"
"theta.hat.ipd0.1",NA,0.00690969702719094,NA,0.0100994103971545
"theta.hat.ipd20.1",0.0249362086176722,0.00684145175408303,0.0289600213661021,0.00989230392171244
"theta.hat.ipd40.1",0.0127683832818229,0.00677516878195776,0.0145520111928832,0.00965814489141603
"theta.hat.ipd60.1",0.00863528570535198,0.00671240883430238,0.00972037896228064,0.00946065855175778
"theta.hat.ipd80.1",0.00653022784816539,0.00664339246589267,0.00730312527594538,0.00923424779778692
"theta.hat.ipd100.1",0.00527367064150758,0.00658086865931299,0.00590661104877319,0.00903263474494904
