"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0.1",NA,0.0161712560566401,NA,0.0233046365023179
"theta.hat.ipd20.1",0.0293073237268691,0.0161203378365456,0.0286025129387819,0.0247171027227562
"theta.hat.ipd40.1",0.0145123566774355,0.0160754585363176,0.0174766227400265,0.0261022327338114
"theta.hat.ipd60.1",0.00956224224778571,0.0159960553151695,0.0117731151764819,0.027406963177934
"theta.hat.ipd80.1",0.00739946027029086,0.0159921107579543,0.00929682818429485,0.0287428096368625
"theta.hat.ipd100.1",0.0059888437762435,0.0159582143475893,0.0074813357784572,0.0300706350803177
