"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",0,-0.0950406437433809,0,-0.118726655011204
"theta.hat.ipd20",-0.0214999517367369,-0.0950031884416485,-0.0644001109369415,-0.124981752603853
"theta.hat.ipd40",-0.018099854963629,-0.0949068959592673,-0.0538565531537847,-0.131046040471472
"theta.hat.ipd60",-0.0150200459820066,-0.0947727479226579,-0.0487326751509077,-0.13678099979673
"theta.hat.ipd80",-0.0168617611277674,-0.0949521449297935,-0.0463788745545399,-0.143131012625994
"theta.hat.ipd100",-0.0164013769628411,-0.0950107682468192,-0.0431538681235847,-0.148829668679697
