"","V5","V6","V7","V8"
"theta.hat.ipd0",0,0.00699836950677646,0,0.0100991955870176
"theta.hat.ipd20",0.0249843481232578,0.00693689221986356,0.0289603528980618,0.00989241781183714
"theta.hat.ipd40",0.0127893445867297,0.00687772072670792,0.01451445385886,0.00965270784107587
"theta.hat.ipd60",0.0086487011712761,0.00682230748760245,0.00972362250039836,0.00946116039160421
"theta.hat.ipd80",0.00653948608390957,0.00676193287655018,0.00730823205117919,0.00924060769111091
"theta.hat.ipd100",0.00528062298694025,0.00670754719505503,0.00589522234202411,0.00905005246515293
