"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",Inf,0.982107350808512,Inf,1.00518339446553
"theta.hat.ipd20",0.187752037979343,0.985910474464785,0.190753841303399,1.00487638438412
"theta.hat.ipd40",0.395443522079877,0.989493126022552,0.406278634922314,1.01033753894871
"theta.hat.ipd60",0.6031341311056,0.99286691055645,0.62502541942024,1.00551238628482
"theta.hat.ipd80",0.793149930227865,0.996482212812738,0.8536930312691,1.00390972534771
"theta.hat.ipd100",1,1,1,1
