"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0.1",NA,0.0052131716889613,NA,0.00720017077102948
"theta.hat.ipd20.1",0.0274222958699758,0.00519251874711314,0.0274369125226197,0.007203212698889
"theta.hat.ipd40.1",0.0130196726668592,0.00517362471094167,0.0128819882238122,0.00716376293259163
"theta.hat.ipd60.1",0.00853633066638261,0.00515616943279751,0.00837329133425596,0.00719789701643215
"theta.hat.ipd80.1",0.0064913640707907,0.00513770221637081,0.00612982107108141,0.0072096702970512
"theta.hat.ipd100.1",0.00514824066499058,0.00511983951116931,0.00523381535780612,0.00723817410610701
