,alpha,beta,sigma.alpha,sigma.beta,,
theta.hat.ipd0.1,NA,-0.015735912,NA,-0.027637544,,-0.016
theta.hat.ipd20.1,-0.004521467,-0.015205437,-0.035769224,-0.028098044,,-0.015
theta.hat.ipd40.1,-0.001960861,-0.014647223,-0.01662458,-0.028474978,,-0.015
theta.hat.ipd60.1,-0.004379669,-0.014139004,-0.016035007,-0.02890334,,-0.014
theta.hat.ipd80.1,-0.002461062,-0.013598701,-0.014189916,-0.02933444,,-0.014
theta.hat.ipd100.1,-0.002709564,-0.013043108,-0.009548397,-0.029748276,,-0.013
