,alpha,beta,sigma.alpha,sigma.beta,V5,V6,V7,V8,,
theta.hat.ipd0.1,NA,0.484264088,NA,0.472362456,NA,0.005339006,NA,0.006083752,,0.484
theta.hat.ipd20.1,0.495478533,0.484794563,0.464230776,0.471901956,0.023891247,0.00533434,0.025806753,0.006074659,,0.485
theta.hat.ipd40.1,0.498039139,0.485352777,0.48337542,0.471525022,0.012428357,0.005330514,0.01317094,0.006066496,,0.485
theta.hat.ipd60.1,0.495620331,0.485860996,0.483964993,0.47109666,0.008295604,0.005326167,0.008648247,0.006058738,,0.486
theta.hat.ipd80.1,0.497538938,0.486401299,0.485810084,0.47066556,0.006245488,0.005321795,0.006478818,0.006050269,,0.486
theta.hat.ipd100.1,0.497290436,0.486956892,0.490451603,0.470251724,0.00504395,0.005317596,0.005263048,0.006042671,,0.487
