"","V5","V6","V7","V8"
"theta.hat.ipd0.1",NA,0.00533900593153973,NA,0.00608375207280109
"theta.hat.ipd20.1",0.0238912468399618,0.00533434015730944,0.0258067532456431,0.0060746589411905
"theta.hat.ipd40.1",0.0124283572863511,0.00533051383983786,0.0131709403151021,0.00606649593650524
"theta.hat.ipd60.1",0.0082956041257829,0.00532616727662218,0.0086482472224507,0.00605873818677301
"theta.hat.ipd80.1",0.00624548838331722,0.00532179496004936,0.0064788183797599,0.00605026883909284
"theta.hat.ipd100.1",0.00504394969079981,0.00531759566511999,0.00526304757889836,0.00604267149415898
