"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",0,-0.0157347556696792,0,-0.0276358219553314
"theta.hat.ipd20",-0.00452182335846824,-0.0152061906304342,-0.0357696608920086,-0.0280994771118329
"theta.hat.ipd40",-0.00196052489347209,-0.0146502033698454,-0.0166291634729687,-0.0284748114337082
"theta.hat.ipd60",-0.00437891915467092,-0.0141392735703859,-0.0160362511780321,-0.028904771265845
"theta.hat.ipd80",-0.0024632140058467,-0.0135981333718966,-0.014199338430339,-0.0293317932128274
"theta.hat.ipd100",-0.00270695964109985,-0.0130432914161245,-0.00955481901878652,-0.0297506091543747
