,alpha,beta,sigma.alpha,sigma.beta,,
theta.hat.ipd0.1,NA,0.982096853,NA,1.005278116,,0.982
theta.hat.ipd20.1,0.187739228,0.986003086,0.190758175,1.004853585,,0.986
theta.hat.ipd40.1,0.39542013,0.989603962,0.406289407,1.010387163,,0.99
theta.hat.ipd60.1,0.603097615,0.992954087,0.625060702,1.005595675,,0.993
theta.hat.ipd80.1,0.793090729,0.996523211,0.853828407,1.003953552,,0.997
theta.hat.ipd100.1,1,1,1,1,,1
