"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",0,0.00521275147741278,0,0.00720066403268531
"theta.hat.ipd20",0.0274217447146461,0.00519264342605164,0.0274364162552014,0.00720286398134091
"theta.hat.ipd40",0.0130195291303422,0.00517384245455419,0.0128818041177071,0.00716393050416782
"theta.hat.ipd60",0.00853622467971832,0.00515626161922932,0.00837342231158095,0.00719830806015577
"theta.hat.ipd80",0.0064911919662465,0.00513755436683052,0.00613054294761948,0.00720979957861606
"theta.hat.ipd100",0.00514848845512408,0.00511948154390502,0.00523360179227868,0.0072379879147805
