"","alpha","beta","sigma.alpha","sigma.beta","V5","V6","V7","V8"
"theta.hat.ipd0",NA,0.481542093770167,NA,0.47231155212842,NA,0.0110583046027058,NA,0.0130457615721028
"theta.hat.ipd20",0.494832045786066,0.481725851709131,0.441608965661815,0.471777678015413,0.0452268249153307,0.0110474788246413,0.0509201914015475,0.0130216136976517
"theta.hat.ipd40",0.506909188864671,0.482508577303249,0.465657352898309,0.47140534840486,0.0239536017093596,0.0110394990622119,0.0259148655439459,0.0130043746059832
"theta.hat.ipd60",0.508505544769818,0.483477806603795,0.476167514201358,0.471128161614597,0.0163873699425784,0.0110333473377216,0.0175475686408182,0.0129926859808596
"theta.hat.ipd80",0.512085490835951,0.484782406904598,0.476310064902918,0.470284743420704,0.0123530544904718,0.0110151668250591,0.0130708395505707,0.0129455819951396
"theta.hat.ipd100",0.504743940549242,0.487572933238566,0.474922424170009,0.469199502034577,0.0101149367573366,0.0109553074118715,0.0108452013772752,0.0127560636079056
