"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",NA,0.0130956124315178,NA,0.0147554096165618
"theta.hat.ipd20",0.0449649599630839,0.0130798756669136,0.0510723294526632,0.0147696779363817
"theta.hat.ipd40",0.0225210521350315,0.0130360948549814,0.0274717405430144,0.014733963110184
"theta.hat.ipd60",0.0153116173044535,0.0129892657094802,0.0181051021456101,0.014783360258256
"theta.hat.ipd80",0.0117800962123047,0.0129379264722305,0.0134971269161434,0.0147340139671375
"theta.hat.ipd100",0.0103116792053593,0.0127625697209934,0.0116969884723709,0.0147494564725704
