"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",NA,0.974568374540252,NA,0.999596544986139
"theta.hat.ipd20",0.229326996261648,0.975740905036061,0.229027902148312,0.998630879840552
"theta.hat.ipd40",0.45786844875331,0.979017862555407,0.425782576610176,1.00105154073419
"theta.hat.ipd60",0.673454606415748,0.982547436201776,0.64606034135008,0.997706625212851
"theta.hat.ipd80",0.875347621914019,0.986446301761455,0.866628027212261,1.00104808543465
"theta.hat.ipd100",1,1,1,1
