,k1_10,k1_9,k1_8,k1_7,k1_6,k1_5,k1_4,k1_3,k1_2
match_count_0,0,0,0,0,0,0,0,0,0
match_count_1,0,0,0,0,0,0,0,0,0
match_count_2,0,0,0,0,0,0,0,3,100
match_count_3,0,0,0,0,0,1,16,97,
match_count_4,0,0,0,0,1,14,84,,
match_count_5,0,0,0,0,7,85,,,
match_count_6,0,0,0,8,92,,,,
match_count_7,0,0,4,92,,,,,
match_count_8,0,5,96,,,,,,
match_count_9,8,95,,,,,,,
match_count_10,92,,,,,,,,
