"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","match_count_6","match_count_7","match_count_8","match_count_9","match_count_10","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset"
"78",0,0,0,0,0,0,0,0,0,0,1,0.0431,0.0431,0.0707,1
"79",0,0,0,0,0,0,0,0,0,0,1,0.0433,0.0433,0.0638,1
"80",0,0,0,0,0,0,0,0,0,0,1,0.0419,0.0419,0.0548,1
"81",0,0,0,0,0,0,0,0,0,0,1,0.0427,0.0427,0.06,1
"82",0,0,0,0,0,0,0,0,0,0,1,0.0399,0.0399,0.0565,1
"83",0,0,0,0,0,0,0,0,0,0,1,0.0427,0.0427,0.0615,1
"84",0,0,0,0,0,0,0,0,0,0,1,0.0441,0.0441,0.0695,1
"85",0,0,0,0,0,0,0,0,0,0,1,0.0458,0.0458,0.077,1
"86",0,0,0,0,0,0,0,0,0,0,1,0.0418,0.0418,0.0597,1
"87",0,0,0,0,0,0,0,0,0,0,1,0.046,0.046,0.0703,1
"88",0,0,0,0,0,0,0,0,0,0,1,0.0432,0.0432,0.0632,1
"89",0,0,0,0,0,0,0,0,0,0,1,0.0426,0.0426,0.0624,1
"90",0,0,0,0,0,0,0,0,0,0,1,0.0448,0.0448,0.072,1
"91",0,0,0,0,0,0,0,0,0,0,1,0.0399,0.0399,0.0511,1
"92",0,0,0,0,0,0,0,0,0,0,1,0.0406,0.0406,0.0581,1
"93",0,0,0,0,0,0,0,0,0,0,1,0.044,0.044,0.0622,1
"94",0,0,0,0,0,0,0,0,0,0,1,0.0426,0.0426,0.055,1
"95",0,0,0,0,0,0,0,0,0,0,1,0.045,0.045,0.067,1
"96",0,0,0,0,0,0,0,0,0,0,1,0.0464,0.0464,0.0793,1
"97",0,0,0,0,0,0,0,0,0,1,0,0.0432,0.0433,0.0625,0.9985
"98",0,0,0,0,0,0,0,0,0,0,1,0.0426,0.0426,0.0641,1
"99",0,0,0,0,0,0,0,0,0,0,1,0.0442,0.0442,0.0692,1
"100",0,0,0,0,0,0,0,0,0,0,1,0.0415,0.0415,0.0613,1
