"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","match_count_6","match_count_7","match_count_8","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset"
"1",0,0,0,0,0,0,0,0,1,0.046,0.046,0.0631,1
"2",0,0,0,0,0,0,0,0,1,0.043,0.043,0.0592,1
"3",0,0,0,0,0,0,0,0,1,0.0458,0.0458,0.0711,1
"4",0,0,0,0,0,0,0,0,1,0.0444,0.0444,0.0585,1
"5",0,0,0,0,0,0,0,0,1,0.0459,0.0459,0.0689,1
"6",0,0,0,0,0,0,0,0,1,0.0443,0.0443,0.0619,1
"7",0,0,0,0,0,0,0,0,1,0.0467,0.0467,0.0718,1
"8",0,0,0,0,0,0,0,0,1,0.0469,0.0469,0.0736,1
"9",0,0,0,0,0,0,0,0,1,0.0459,0.0459,0.0684,1
"10",0,0,0,0,0,0,0,0,1,0.0449,0.0449,0.0623,1
"11",0,0,0,0,0,0,0,0,1,0.0425,0.0425,0.0585,1
"12",0,0,0,0,0,0,0,0,1,0.0483,0.0483,0.0672,1
"13",0,0,0,0,0,0,0,0,1,0.0478,0.0478,0.0723,1
"14",0,0,0,0,0,0,0,0,1,0.0426,0.0426,0.06,1
"15",0,0,0,0,0,0,0,0,1,0.0443,0.0443,0.0636,1
"16",0,0,0,0,0,0,0,0,1,0.0462,0.0462,0.0686,1
"17",0,0,0,0,0,0,0,0,1,0.0438,0.0438,0.061,1
"18",0,0,0,0,0,0,0,0,1,0.0447,0.0447,0.0623,1
"19",0,0,0,0,0,0,0,0,1,0.0447,0.0447,0.0624,1
"20",0,0,0,0,0,0,0,0,1,0.0435,0.0435,0.0645,1
"21",0,0,0,0,0,0,0,0,1,0.0456,0.0456,0.0623,1
"22",0,0,0,0,0,0,0,0,1,0.0444,0.0444,0.0692,1
"23",0,0,0,0,0,0,0,0,1,0.0424,0.0424,0.0583,1
"24",0,0,0,0,0,0,0,0,1,0.0441,0.0441,0.0618,1
"25",0,0,0,0,0,0,0,0,1,0.044,0.044,0.0591,1
"26",0,0,0,0,0,0,0,0,1,0.0453,0.0453,0.0683,1
"27",0,0,0,0,0,0,0,0,1,0.0444,0.0444,0.0592,1
"28",0,0,0,0,0,0,0,0,1,0.0458,0.0458,0.0628,1
"29",0,0,0,0,0,0,0,0,1,0.0484,0.0484,0.0691,1
"30",0,0,0,0,0,0,0,0,1,0.0442,0.0442,0.0636,1
"31",0,0,0,0,0,0,0,0,1,0.0451,0.0451,0.0656,1
"32",0,0,0,0,0,0,0,0,1,0.0454,0.0454,0.0602,1
"33",0,0,0,0,0,0,0,0,1,0.0466,0.0466,0.0647,1
"34",0,0,0,0,0,0,0,0,1,0.0448,0.0448,0.0672,1
"35",0,0,0,0,0,0,0,0,1,0.0448,0.0448,0.0673,1
"36",0,0,0,0,0,0,0,0,1,0.045,0.045,0.0646,1
"37",0,0,0,0,0,0,0,0,1,0.0422,0.0422,0.0581,1
"38",0,0,0,0,0,0,0,0,1,0.046,0.046,0.0721,1
"39",0,0,0,0,0,0,0,1,0,0.0449,0.0449,0.0617,0.9969
"40",0,0,0,0,0,0,0,0,1,0.045,0.045,0.0676,1
"41",0,0,0,0,0,0,0,0,1,0.0466,0.0466,0.0693,1
"42",0,0,0,0,0,0,0,0,1,0.0421,0.0421,0.057,1
"43",0,0,0,0,0,0,0,0,1,0.0461,0.0461,0.0687,1
"44",0,0,0,0,0,0,0,1,0,0.0421,0.0421,0.0508,0.9984
"45",0,0,0,0,0,0,0,0,1,0.0462,0.0462,0.063,1
"46",0,0,0,0,0,0,0,0,1,0.0454,0.0454,0.0601,1
"47",0,0,0,0,0,0,0,0,1,0.0455,0.0455,0.0681,1
"48",0,0,0,0,0,0,0,0,1,0.0433,0.0433,0.0556,1
"49",0,0,0,0,0,0,0,0,1,0.0444,0.0444,0.0686,1
"50",0,0,0,0,0,0,0,0,1,0.0448,0.0448,0.0687,1
"51",0,0,0,0,0,0,0,0,1,0.046,0.046,0.0642,1
"52",0,0,0,0,0,0,0,0,1,0.0463,0.0463,0.0742,1
"53",0,0,0,0,0,0,0,0,1,0.0407,0.0407,0.052,1
"54",0,0,0,0,0,0,0,0,1,0.044,0.044,0.066,1
"55",0,0,0,0,0,0,0,0,1,0.0451,0.0451,0.0652,1
"56",0,0,0,0,0,0,0,0,1,0.0434,0.0434,0.0581,1
"57",0,0,0,0,0,0,0,0,1,0.0463,0.0463,0.07,1
"58",0,0,0,0,0,0,0,0,1,0.0447,0.0447,0.0641,1
"59",0,0,0,0,0,0,0,0,1,0.047,0.047,0.0847,1
"60",0,0,0,0,0,0,0,0,1,0.0458,0.0458,0.0663,1
"61",0,0,0,0,0,0,0,0,1,0.047,0.047,0.0685,1
"62",0,0,0,0,0,0,0,0,1,0.0461,0.0461,0.0668,1
"63",0,0,0,0,0,0,0,0,1,0.047,0.047,0.0678,1
"64",0,0,0,0,0,0,0,0,1,0.0425,0.0425,0.0554,1
"65",0,0,0,0,0,0,0,0,1,0.0452,0.0452,0.0671,1
"66",0,0,0,0,0,0,0,0,1,0.0444,0.0444,0.0602,1
"67",0,0,0,0,0,0,0,0,1,0.0426,0.0426,0.055,1
"68",0,0,0,0,0,0,0,0,1,0.0435,0.0435,0.0617,1
"69",0,0,0,0,0,0,0,0,1,0.0476,0.0476,0.0746,1
"70",0,0,0,0,0,0,0,0,1,0.0485,0.0485,0.0764,1
"71",0,0,0,0,0,0,0,0,1,0.0471,0.0471,0.077,1
"72",0,0,0,0,0,0,0,0,1,0.0449,0.0449,0.0675,1
