"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset"
"1",0,0,0,0,1,0.0513,0.0513,0.0631,1
"2",0,0,0,0,1,0.0472,0.0472,0.0592,1
"3",0,0,0,1,0,0.0549,0.055,0.0712,0.9921
"4",0,0,0,1,0,0.0497,0.0499,0.0585,0.981
"5",0,0,0,0,1,0.0534,0.0534,0.0689,1
"6",0,0,0,0,1,0.0505,0.0505,0.0619,1
"7",0,0,0,1,0,0.0542,0.0546,0.0718,0.9684
"8",0,0,0,0,1,0.0546,0.0546,0.0737,1
"9",0,0,0,0,1,0.0529,0.0529,0.0684,1
"10",0,0,0,1,0,0.0507,0.0508,0.0623,0.9826
"11",0,0,0,0,1,0.0473,0.0473,0.0585,1
"12",0,0,0,0,1,0.0547,0.0547,0.0672,1
"13",0,0,0,0,1,0.055,0.055,0.0723,1
"14",0,0,0,0,1,0.0473,0.0473,0.0601,1
"15",0,0,0,0,1,0.0516,0.0516,0.0636,1
"16",0,0,0,1,0,0.0542,0.0546,0.0686,0.9722
"17",0,0,0,0,1,0.0495,0.0495,0.0611,1
"18",0,0,0,0,1,0.0502,0.0502,0.0625,1
"19",0,0,0,0,1,0.0502,0.0502,0.0624,1
"20",0,0,0,0,1,0.0493,0.0493,0.0648,1
"21",0,0,0,1,0,0.0513,0.0515,0.0623,0.9841
"22",0,0,0,0,1,0.0515,0.0515,0.0693,1
"23",0,0,0,0,1,0.0473,0.0473,0.0584,1
"24",0,0,0,1,0,0.0499,0.0502,0.0619,0.9717
"25",0,0,0,0,1,0.0485,0.0485,0.0591,1
"26",0,0,0,1,0,0.053,0.0532,0.0683,0.9863
"27",0,0,0,0,1,0.0496,0.0496,0.0592,1
"28",0,0,0,0,1,0.0499,0.0499,0.0628,1
"29",0,0,0,0,1,0.054,0.054,0.0691,1
"30",0,0,0,0,1,0.0498,0.0498,0.0636,1
"31",0,0,0,0,1,0.0513,0.0513,0.0656,1
"32",0,0,0,0,1,0.0503,0.0503,0.0602,1
"33",0,0,0,0,1,0.0534,0.0534,0.0647,1
"34",0,0,0,0,1,0.0506,0.0506,0.0672,1
"35",0,0,0,0,1,0.0508,0.0508,0.0673,1
"36",0,0,0,0,1,0.0507,0.0507,0.0646,1
"37",0,0,0,0,1,0.0464,0.0464,0.0582,1
"38",0,0,0,0,1,0.0526,0.0526,0.0721,1
"39",0,0,0,0,1,0.0513,0.0513,0.0617,1
"40",0,0,0,1,0,0.0518,0.0521,0.0676,0.9732
"41",0,0,0,0,1,0.0525,0.0525,0.0693,1
"42",0,0,0,0,1,0.0472,0.0472,0.0571,1
"43",0,0,0,0,1,0.053,0.053,0.0687,1
"44",0,0,0,0,1,0.0452,0.0452,0.0508,1
"45",0,0,0,0,1,0.0521,0.0521,0.063,1
"46",0,0,0,0,1,0.051,0.051,0.0602,1
"47",0,0,0,0,1,0.0528,0.0528,0.0681,1
"48",0,0,0,0,1,0.0476,0.0476,0.0556,1
"49",0,0,0,0,1,0.0511,0.0511,0.0686,1
"50",0,0,0,0,1,0.0525,0.0525,0.0687,1
"51",0,0,0,0,1,0.0517,0.0517,0.0642,1
"52",0,0,0,0,1,0.0533,0.0533,0.0742,1
"53",0,0,0,0,1,0.0444,0.0444,0.0521,1
"54",0,0,0,0,1,0.0503,0.0503,0.066,1
"55",0,0,0,0,1,0.0517,0.0517,0.0653,1
"56",0,0,0,0,1,0.0477,0.0477,0.0582,1
"57",0,0,0,0,1,0.0537,0.0537,0.07,1
"58",0,0,0,0,1,0.0504,0.0504,0.0642,1
"59",0,0,0,0,1,0.0551,0.0551,0.0848,1
"60",0,0,0,1,0,0.0531,0.0531,0.0663,0.9945
"61",0,0,0,0,1,0.0533,0.0533,0.0685,1
"62",0,0,0,0,1,0.0522,0.0522,0.0668,1
"63",0,0,0,0,1,0.0543,0.0543,0.0679,1
"64",0,0,0,0,1,0.0469,0.0469,0.0554,1
"65",0,0,0,0,1,0.0528,0.0528,0.0671,1
"66",0,0,0,1,0,0.0499,0.05,0.0603,0.9799
"67",0,0,0,0,1,0.0463,0.0463,0.055,1
"68",0,0,0,0,1,0.0489,0.0489,0.0617,1
"69",0,0,0,1,0,0.0567,0.0568,0.0746,0.9923
"70",0,0,0,0,1,0.0564,0.0564,0.0765,1
"71",0,0,0,0,1,0.0553,0.0553,0.077,1
"72",0,0,0,0,1,0.0507,0.0507,0.0676,1
"73",0,0,0,0,1,0.05,0.05,0.0642,1
"74",0,0,0,0,1,0.0531,0.0531,0.0745,1
"75",0,0,0,0,1,0.0453,0.0453,0.0596,1
"76",0,0,0,0,1,0.059,0.059,0.0873,1
"77",0,0,0,0,1,0.0507,0.0507,0.0606,1
"78",0,0,0,0,1,0.0502,0.0502,0.071,1
"79",0,0,0,1,0,0.0518,0.0523,0.0641,0.9522
"80",0,0,0,0,1,0.0478,0.0478,0.0549,1
"81",0,0,0,0,1,0.0489,0.0489,0.0601,1
"82",0,0,0,0,1,0.0443,0.0443,0.0565,1
"83",0,0,0,0,1,0.0504,0.0504,0.0616,1
"84",0,0,0,0,1,0.0542,0.0542,0.0696,1
"85",0,0,0,0,1,0.058,0.058,0.077,1
"86",0,0,0,0,1,0.0479,0.0479,0.0599,1
"87",0,0,0,0,1,0.0548,0.0548,0.0706,1
"88",0,0,0,1,0,0.0516,0.0516,0.0633,0.9958
"89",0,0,0,1,0,0.051,0.0511,0.0626,0.9814
"90",0,0,0,0,1,0.0533,0.0533,0.072,1
"91",0,0,0,0,1,0.0449,0.0449,0.0512,1
"92",0,0,0,1,0,0.0462,0.0465,0.0583,0.9721
"93",0,0,0,0,1,0.0525,0.0525,0.0625,1
"94",0,0,0,0,1,0.0468,0.0468,0.0551,1
"95",0,0,0,0,1,0.052,0.052,0.0671,1
"96",0,0,0,0,1,0.0568,0.0568,0.0793,1
"97",0,0,0,0,1,0.0509,0.0509,0.0625,1
"98",0,0,0,0,1,0.0503,0.0503,0.0641,1
"99",0,0,0,0,1,0.0527,0.0527,0.0692,1
"100",0,0,0,0,1,0.0483,0.0483,0.0616,1
