"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","match_count_6","match_count_7","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset"
"1",0,0,0,0,0,0,0,1,0.0472,0.0472,0.0631,1
"2",0,0,0,0,0,0,0,1,0.0439,0.0439,0.0592,1
"3",0,0,0,0,0,0,0,1,0.0478,0.0478,0.0711,1
"4",0,0,0,0,0,0,1,0,0.0457,0.0459,0.0585,0.9799
"5",0,0,0,0,0,0,0,1,0.0473,0.0473,0.0689,1
"6",0,0,0,0,0,0,0,1,0.0454,0.0454,0.0619,1
"7",0,0,0,0,0,0,0,1,0.0481,0.0481,0.0718,1
"8",0,0,0,0,0,0,0,1,0.0486,0.0486,0.0737,1
"9",0,0,0,0,0,0,0,1,0.0473,0.0473,0.0684,1
"10",0,0,0,0,0,0,0,1,0.0461,0.0461,0.0623,1
"11",0,0,0,0,0,0,0,1,0.0434,0.0434,0.0585,1
"12",0,0,0,0,0,0,0,1,0.0494,0.0494,0.0672,1
"13",0,0,0,0,0,0,0,1,0.0492,0.0492,0.0723,1
"14",0,0,0,0,0,0,0,1,0.0435,0.0435,0.0601,1
"15",0,0,0,0,0,0,0,1,0.0458,0.0458,0.0636,1
"16",0,0,0,0,0,0,0,1,0.0479,0.0479,0.0686,1
"17",0,0,0,0,0,0,0,1,0.0447,0.0447,0.0611,1
"18",0,0,0,0,0,0,0,1,0.046,0.046,0.0624,1
"19",0,0,0,0,0,0,0,1,0.0457,0.0457,0.0624,1
"20",0,0,0,0,0,0,0,1,0.0448,0.0448,0.0646,1
"21",0,0,0,0,0,0,0,1,0.0466,0.0466,0.0623,1
"22",0,0,0,0,0,0,0,1,0.0458,0.0458,0.0693,1
"23",0,0,0,0,0,0,0,1,0.0433,0.0433,0.0583,1
"24",0,0,0,0,0,0,0,1,0.0455,0.0455,0.0618,1
"25",0,0,0,0,0,0,0,1,0.045,0.045,0.0591,1
"26",0,0,0,0,0,0,0,1,0.0469,0.0469,0.0683,1
"27",0,0,0,0,0,0,0,1,0.0455,0.0455,0.0592,1
"28",0,0,0,0,0,0,0,1,0.0467,0.0467,0.0628,1
"29",0,0,0,0,0,0,0,1,0.0493,0.0493,0.0691,1
"30",0,0,0,0,0,0,1,0,0.0455,0.0455,0.0636,0.9983
"31",0,0,0,0,0,0,0,1,0.0464,0.0464,0.0656,1
"32",0,0,0,0,0,0,0,1,0.0462,0.0462,0.0602,1
"33",0,0,0,0,0,0,0,1,0.0481,0.0481,0.0647,1
"34",0,0,0,0,0,0,0,1,0.046,0.046,0.0672,1
"35",0,0,0,0,0,0,0,1,0.046,0.046,0.0673,1
"36",0,0,0,0,0,0,0,1,0.0463,0.0463,0.0646,1
"37",0,0,0,0,0,0,0,1,0.0431,0.0431,0.0582,1
"38",0,0,0,0,0,0,0,1,0.0474,0.0474,0.0721,1
"39",0,0,0,0,0,0,0,1,0.0462,0.0462,0.0617,1
"40",0,0,0,0,0,0,0,1,0.0462,0.0462,0.0676,1
"41",0,0,0,0,0,0,0,1,0.0478,0.0478,0.0693,1
"42",0,0,0,0,0,0,0,1,0.0431,0.0431,0.0571,1
"43",0,0,0,0,0,0,0,1,0.0473,0.0473,0.0687,1
"44",0,0,0,0,0,0,0,1,0.0428,0.0428,0.0508,1
"45",0,0,0,0,0,0,0,1,0.0475,0.0475,0.063,1
"46",0,0,0,0,0,0,1,0,0.0466,0.0467,0.0602,0.9947
"47",0,0,0,0,0,0,0,1,0.0469,0.0469,0.0681,1
"48",0,0,0,0,0,0,0,1,0.0444,0.0444,0.0556,1
"49",0,0,0,0,0,0,0,1,0.0459,0.0459,0.0686,1
"50",0,0,0,0,0,0,0,1,0.0464,0.0464,0.0687,1
"51",0,0,0,0,0,0,0,1,0.047,0.047,0.0642,1
"52",0,0,0,0,0,0,0,1,0.0474,0.0474,0.0742,1
"53",0,0,0,0,0,0,0,1,0.0414,0.0414,0.0521,1
"54",0,0,0,0,0,0,0,1,0.0455,0.0455,0.066,1
