"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","match_count_6","match_count_7","match_count_8","match_count_9","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset"
"1",0,0,0,0,0,0,0,0,1,0,0.045,0.045,0.0631,0.996
"2",0,0,0,0,0,0,0,0,0,1,0.0421,0.0421,0.0591,1
"3",0,0,0,0,0,0,0,0,0,1,0.0445,0.0445,0.071,1
"4",0,0,0,0,0,0,0,0,0,1,0.0434,0.0434,0.0584,1
"5",0,0,0,0,0,0,0,0,0,1,0.0445,0.0445,0.0688,1
"6",0,0,0,0,0,0,0,0,0,1,0.0432,0.0432,0.0619,1
"7",0,0,0,0,0,0,0,0,0,1,0.0455,0.0455,0.0717,1
"8",0,0,0,0,0,0,0,0,0,1,0.0456,0.0456,0.0736,1
"9",0,0,0,0,0,0,0,0,0,1,0.0447,0.0447,0.0684,1
"10",0,0,0,0,0,0,0,0,0,1,0.0438,0.0438,0.0622,1
"11",0,0,0,0,0,0,0,0,0,1,0.0419,0.0419,0.0584,1
"12",0,0,0,0,0,0,0,0,0,1,0.047,0.047,0.0672,1
"13",0,0,0,0,0,0,0,0,0,1,0.0466,0.0466,0.0723,1
"14",0,0,0,0,0,0,0,0,0,1,0.042,0.042,0.0599,1
"15",0,0,0,0,0,0,0,0,0,1,0.0429,0.0429,0.0635,1
