"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",0,-0.0146558408257008,0,-0.0412999692746743
"theta.hat.ipd20",-0.00315083521296705,-0.0141171638565334,-0.0352822674627244,-0.041665702042624
"theta.hat.ipd40",-0.0061813708262754,-0.0135670722862369,-0.0199976878925673,-0.0419009240444538
"theta.hat.ipd60",-0.0055285645475372,-0.0130452468683369,-0.0161290766067708,-0.0421708028310507
"theta.hat.ipd80",-0.00506215059945342,-0.0124774706758956,-0.010503503127503,-0.0427739904493873
"theta.hat.ipd100",-0.00763314708878876,-0.0119674769607269,-0.0121011538873537,-0.0433641585389652
