,alpha,beta,sigma.alpha,sigma.beta,,
theta.hat.ipd0.1,NA,0.991737679,NA,1.005406106,,0.992
theta.hat.ipd20.1,0.213514074,0.993876384,0.201611212,1.00058106,,0.994
theta.hat.ipd40.1,0.447609304,0.996650802,0.414347515,1.003183903,,0.997
theta.hat.ipd60.1,0.66745779,0.997212702,0.638891425,1.005129843,,0.997
theta.hat.ipd80.1,0.857967468,0.998490205,0.81831794,1.003073265,,0.998
theta.hat.ipd100.1,1,1,1,1,,1
