,alpha,beta,sigma.alpha,sigma.beta,V5,V6,V7,V8,,
theta.hat.ipd0.1,NA,0.485344645,NA,0.458706011,NA,0.010399318,NA,0.011749036,,0.485
theta.hat.ipd20.1,0.49685443,0.485882098,0.464698045,0.45833579,0.047854812,0.010391815,0.056782486,0.011737468,,0.486
theta.hat.ipd40.1,0.493818745,0.486433089,0.480001246,0.458099545,0.024692271,0.010387013,0.027284278,0.01172817,,0.486
theta.hat.ipd60.1,0.494471823,0.486954994,0.483871755,0.457831332,0.016589825,0.010381565,0.017849455,0.011718473,,0.487
theta.hat.ipd80.1,0.494942725,0.487519497,0.489501958,0.457230692,0.012585337,0.010369412,0.013503848,0.011694265,,0.488
theta.hat.ipd100.1,0.492367452,0.488031837,0.487894634,0.456640611,0.010037358,0.010357479,0.010638814,0.011671485,,0.488
