,alpha,beta,sigma.alpha,sigma.beta,,
theta.hat.ipd0.1,NA,-0.014655355,NA,-0.041293989,,-0.015
theta.hat.ipd20.1,-0.00314557,-0.014117902,-0.035301955,-0.04166421,,-0.014
theta.hat.ipd40.1,-0.006181255,-0.013566911,-0.019998754,-0.041900455,,-0.014
theta.hat.ipd60.1,-0.005528177,-0.013045006,-0.016128245,-0.042168668,,-0.013
theta.hat.ipd80.1,-0.005057275,-0.012480503,-0.010498042,-0.042769308,,-0.012
theta.hat.ipd100.1,-0.007632548,-0.011968163,-0.012105366,-0.043359389,,-0.012
