"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","match_count_6","match_count_7","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset","match_count_start_30","match_count_start_31","match_count_start_32","match_count_start_33","match_count_start_34","match_count_start_35","match_count_start_36","match_count_start_37","var_iset_start_3"
"54",0,0,0,0,0,0,0,1,0.0488,0.0488,0.0732,1,0,0,0,0,0,0,0,1,0.0488
"55",0,0,0,0,0,0,0,1,0.0489,0.0489,0.066,1,0,0,0,0,0,0,0,1,0.0489
"56",0,0,0,0,0,0,0,1,0.0446,0.0446,0.0592,1,0,0,0,0,0,0,0,1,0.0446
"57",0,0,0,0,0,0,0,1,0.0464,0.0464,0.0732,1,0,0,0,0,0,0,0,1,0.0464
"58",0,0,0,0,0,0,0,1,0.0484,0.0484,0.068,1,0,0,0,0,0,0,0,1,0.0484
"59",0,0,0,0,0,0,0,1,0.0452,0.0452,0.0557,1,0,0,0,0,0,0,0,1,0.0452
"60",0,0,0,0,0,0,0,1,0.0483,0.0483,0.073,1,0,0,0,0,0,0,0,1,0.0483
"61",0,0,0,0,0,0,0,1,0.0437,0.0437,0.059,1,0,0,0,0,0,0,0,1,0.0437
"62",0,0,0,0,0,0,0,1,0.0439,0.0439,0.0568,1,0,0,0,0,0,0,0,1,0.0439
"63",0,0,0,0,0,0,0,1,0.0437,0.0437,0.0536,1,0,0,0,0,0,0,0,1,0.0437
"64",0,0,0,0,0,0,0,1,0.0419,0.0419,0.0506,1,0,0,0,0,0,0,0,1,0.0419
"65",0,0,0,0,0,0,0,1,0.0418,0.0418,0.0507,1,0,0,0,0,0,0,0,1,0.0418
"66",0,0,0,0,0,0,0,1,0.0457,0.0457,0.0581,1,0,0,0,0,0,0,0,1,0.0457
"67",0,0,0,0,0,0,0,1,0.049,0.049,0.0745,1,0,0,0,0,0,0,0,1,0.049
"68",0,0,0,0,0,0,0,1,0.044,0.044,0.0597,1,0,0,0,0,0,0,0,1,0.044
"69",0,0,0,0,0,0,0,1,0.0437,0.0437,0.0605,1,0,0,0,0,0,0,0,1,0.0437
"70",0,0,0,0,0,0,0,1,0.043,0.043,0.0536,1,0,0,0,0,0,0,0,1,0.043
"71",0,0,0,0,0,0,0,1,0.0536,0.0536,0.0947,1,0,0,0,0,0,0,0,1,0.0536
"72",0,0,0,0,0,0,0,1,0.0473,0.0473,0.0655,1,0,0,0,0,0,0,0,1,0.0473
"73",0,0,0,0,0,0,0,1,0.0435,0.0435,0.0553,1,0,0,0,0,0,0,0,1,0.0435
"74",0,0,0,0,0,0,0,1,0.0454,0.0454,0.0683,1,0,0,0,0,0,0,0,1,0.0454
"75",0,0,0,0,0,0,0,1,0.0472,0.0472,0.0687,1,0,0,0,0,0,0,0,1,0.0472
"76",0,0,0,0,0,0,0,1,0.0439,0.0439,0.0609,1,0,0,0,0,0,0,0,1,0.0439
"77",0,0,0,0,0,0,0,1,0.0448,0.0448,0.0553,1,0,0,0,0,0,0,0,1,0.0448
"78",0,0,0,0,0,0,0,1,0.046,0.046,0.0699,1,0,0,0,0,0,0,0,1,0.046
"79",0,0,0,0,0,0,0,1,0.0472,0.0472,0.0649,1,0,0,0,0,0,0,0,1,0.0472
"80",0,0,0,0,0,0,0,1,0.046,0.046,0.0586,1,0,0,0,0,0,0,0,1,0.046
"81",0,0,0,0,0,0,0,1,0.046,0.046,0.0614,1,0,0,0,0,0,0,0,1,0.046
"82",0,0,0,0,0,0,0,1,0.0499,0.0499,0.0754,1,0,0,0,0,0,0,0,1,0.0499
