"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","match_count_6","match_count_7","match_count_8","match_count_9","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset","match_count_start_30","match_count_start_31","match_count_start_32","match_count_start_33","match_count_start_34","match_count_start_35","match_count_start_36","match_count_start_37","match_count_start_38","match_count_start_39","var_iset_start_3"
"47",0,0,0,0,0,0,0,0,0,1,0.0437,0.0437,0.0635,1,0,0,0,0,0,0,0,0,0,1,0.0437
"48",0,0,0,0,0,0,0,0,0,1,0.0438,0.0438,0.064,1,0,0,0,0,0,0,0,0,0,1,0.0438
"49",0,0,0,0,0,0,0,0,0,1,0.0437,0.0437,0.0644,1,0,0,0,0,0,0,0,0,0,1,0.0437
"50",0,0,0,0,0,0,0,0,0,1,0.0418,0.0418,0.0613,1,0,0,0,0,0,0,0,0,0,1,0.0418
"51",0,0,0,0,0,0,0,0,0,1,0.0483,0.0483,0.066,1,0,0,0,0,0,0,0,0,0,1,0.0483
"52",0,0,0,0,0,0,0,0,0,1,0.0449,0.0449,0.0681,1,0,0,0,0,0,0,0,0,0,1,0.0449
"53",0,0,0,0,0,0,0,0,0,1,0.0448,0.0448,0.0694,1,0,0,0,0,0,0,0,0,0,1,0.0448
"54",0,0,0,0,0,0,0,0,0,1,0.0462,0.0462,0.0732,1,0,0,0,0,0,0,0,0,0,1,0.0462
"55",0,0,0,0,0,0,0,0,0,1,0.0467,0.0467,0.066,1,0,0,0,0,0,0,0,0,0,1,0.0467
"56",0,0,0,0,0,0,0,0,0,1,0.0426,0.0426,0.0591,1,0,0,0,0,0,0,0,0,0,1,0.0426
"57",0,0,0,0,0,0,0,0,0,1,0.0435,0.0435,0.073,1,0,0,0,0,0,0,0,0,0,1,0.0435
"58",0,0,0,0,0,0,0,0,0,1,0.0457,0.0457,0.0678,1,0,0,0,0,0,0,0,0,0,1,0.0457
"59",0,0,0,0,0,0,0,0,0,1,0.0433,0.0433,0.0556,1,0,0,0,0,0,0,0,0,0,1,0.0433
"60",0,0,0,0,0,0,0,0,0,1,0.0455,0.0455,0.073,1,0,0,0,0,0,0,0,0,0,1,0.0455
"61",0,0,0,0,0,0,0,0,0,1,0.0423,0.0423,0.0589,1,0,0,0,0,0,0,0,0,0,1,0.0423
"62",0,0,0,0,0,0,0,0,0,1,0.0417,0.0417,0.0567,1,0,0,0,0,0,0,0,0,0,1,0.0417
"63",0,0,0,0,0,0,0,0,0,1,0.0422,0.0422,0.0535,1,0,0,0,0,0,0,0,0,0,1,0.0422
"64",0,0,0,0,0,0,0,0,0,1,0.0407,0.0407,0.0505,1,0,0,0,0,0,0,0,0,0,1,0.0407
"65",0,0,0,0,0,0,0,0,0,1,0.0404,0.0404,0.0506,1,0,0,0,0,0,0,0,0,0,1,0.0404
"66",0,0,0,0,0,0,0,0,0,1,0.0439,0.0439,0.058,1,0,0,0,0,0,0,0,0,0,1,0.0439
"67",0,0,0,0,0,0,0,0,0,1,0.0463,0.0463,0.0743,1,0,0,0,0,0,0,0,0,0,1,0.0463
"68",0,0,0,0,0,0,0,0,0,1,0.0417,0.0417,0.0596,1,0,0,0,0,0,0,0,0,0,1,0.0417
"69",0,0,0,0,0,0,0,0,0,1,0.0419,0.0419,0.0603,1,0,0,0,0,0,0,0,0,0,1,0.0419
"70",0,0,0,0,0,0,0,0,0,1,0.0413,0.0413,0.0535,1,0,0,0,0,0,0,0,0,0,1,0.0413
"71",0,0,0,0,0,0,0,0,1,0,0.0494,0.0494,0.0945,1,0,0,0,0,0,0,0,0,1,0,0.0494
"72",0,0,0,0,0,0,0,0,0,1,0.0444,0.0444,0.0655,1,0,0,0,0,0,0,0,0,0,1,0.0444
"73",0,0,0,0,0,0,0,0,0,1,0.0419,0.0419,0.0553,1,0,0,0,0,0,0,0,0,0,1,0.0419
"74",0,0,0,0,0,0,0,0,0,1,0.0431,0.0431,0.0682,1,0,0,0,0,0,0,0,0,0,1,0.0431
"75",0,0,0,0,0,0,0,0,0,1,0.0447,0.0447,0.0685,1,0,0,0,0,0,0,0,0,0,1,0.0447
"76",0,0,0,0,0,0,0,0,0,1,0.0422,0.0422,0.0608,1,0,0,0,0,0,0,0,0,0,1,0.0422
"77",0,0,0,0,0,0,0,0,0,1,0.0428,0.0428,0.0553,1,0,0,0,0,0,0,0,0,0,1,0.0428
"78",0,0,0,0,0,0,0,0,0,1,0.0438,0.0438,0.0698,1,0,0,0,0,0,0,0,0,0,1,0.0438
"79",0,0,0,0,0,0,0,0,0,1,0.045,0.045,0.0649,1,0,0,0,0,0,0,0,0,0,1,0.045
"80",0,0,0,0,0,0,0,0,0,1,0.0445,0.0445,0.0585,1,0,0,0,0,0,0,0,0,0,1,0.0445
"81",0,0,0,0,0,0,0,0,0,1,0.044,0.044,0.0613,1,0,0,0,0,0,0,0,0,0,1,0.044
"82",0,0,0,0,0,0,0,0,0,1,0.0469,0.0469,0.0754,1,0,0,0,0,0,0,0,0,0,1,0.0469
"83",0,0,0,0,0,0,0,0,1,0,0.0499,0.0499,0.0778,1,0,0,0,0,0,0,0,0,1,0,0.0499
"84",0,0,0,0,0,0,0,0,0,1,0.0415,0.0415,0.0557,1,0,0,0,0,0,0,0,0,0,1,0.0415
"85",0,0,0,0,0,0,0,0,0,1,0.0435,0.0435,0.0668,1,0,0,0,0,0,0,0,0,0,1,0.0435
"86",0,0,0,0,0,0,0,0,0,1,0.0429,0.0429,0.0598,1,0,0,0,0,0,0,0,0,0,1,0.0429
"87",0,0,0,0,0,0,0,0,0,1,0.0421,0.0421,0.0572,1,0,0,0,0,0,0,0,0,0,1,0.0421
"88",0,0,0,0,0,0,0,0,0,1,0.0427,0.0427,0.0607,1,0,0,0,0,0,0,0,0,0,1,0.0427
"89",0,0,0,0,0,0,0,0,0,1,0.0403,0.0403,0.0494,1,0,0,0,0,0,0,0,0,0,1,0.0403
"90",0,0,0,0,0,0,0,0,1,0,0.0446,0.0446,0.0664,0.9984,0,0,0,0,0,0,0,0,1,0,0.0446
"91",0,0,0,0,0,0,0,0,0,1,0.0456,0.0456,0.0655,1,0,0,0,0,0,0,0,0,0,1,0.0456
"92",0,0,0,0,0,0,0,0,0,1,0.0457,0.0457,0.0763,1,0,0,0,0,0,0,0,0,0,1,0.0457
"93",0,0,0,0,0,0,0,0,0,1,0.0427,0.0427,0.0572,1,0,0,0,0,0,0,0,0,0,1,0.0427
"94",0,0,0,0,0,0,0,0,0,1,0.0418,0.0418,0.0605,1,0,0,0,0,0,0,0,0,0,1,0.0418
"95",0,0,0,0,0,0,0,0,0,1,0.0448,0.0448,0.0755,1,0,0,0,0,0,0,0,0,0,1,0.0448
"96",0,0,0,0,0,0,0,0,0,1,0.044,0.044,0.0617,1,0,0,0,0,0,0,0,0,0,1,0.044
"97",0,0,0,0,0,0,0,0,0,1,0.0466,0.0466,0.0697,1,0,0,0,0,0,0,0,0,0,1,0.0466
"98",0,0,0,0,0,0,0,0,0,1,0.0453,0.0453,0.0676,1,0,0,0,0,0,0,0,0,0,1,0.0453
"99",0,0,0,0,0,0,0,0,0,1,0.0434,0.0434,0.0609,1,0,0,0,0,0,0,0,0,0,1,0.0434
"100",0,0,0,0,0,0,0,0,0,1,0.0429,0.0429,0.0596,1,0,0,0,0,0,0,0,0,0,1,0.0429
