"","match_count_0","match_count_1","match_count_2","match_count_3","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset","match_count_start_30","match_count_start_31","match_count_start_32","match_count_start_33","var_iset_start_3"
"77",0,0,0,1,0.0499,0.0499,0.0553,1,0,0,0,1,0.0499
"78",0,0,0,1,0.0528,0.0528,0.0699,1,0,0,0,1,0.0528
"79",0,0,0,1,0.054,0.054,0.0649,1,0,0,0,1,0.054
"80",0,0,0,1,0.0507,0.0507,0.0586,1,0,0,0,1,0.0507
"81",0,0,0,1,0.0513,0.0513,0.0614,1,0,0,0,1,0.0513
"82",0,0,0,1,0.0603,0.0603,0.0754,1,0,0,0,1,0.0603
"83",0,0,0,1,0.0604,0.0604,0.0779,1,0,0,0,1,0.0604
"84",0,0,0,1,0.0482,0.0482,0.0558,1,0,0,0,1,0.0482
"85",0,0,0,1,0.0515,0.0515,0.067,1,0,0,0,1,0.0515
"86",0,0,0,1,0.0512,0.0512,0.0598,1,0,0,0,1,0.0512
"87",0,0,1,0,0.0505,0.0506,0.0572,0.9726,0,0,0,1,0.0505
"88",0,0,0,1,0.0521,0.0521,0.0609,1,0,0,0,1,0.0521
"89",0,0,0,1,0.0454,0.0454,0.0496,1,0,0,0,1,0.0454
"90",0,0,0,1,0.0538,0.0538,0.0665,1,0,0,0,1,0.0538
"91",0,0,0,1,0.0552,0.0552,0.0655,1,0,0,0,1,0.0552
"92",0,0,0,1,0.0581,0.0581,0.0765,1,0,0,0,1,0.0581
"93",0,0,0,1,0.0506,0.0506,0.0572,1,0,0,0,1,0.0506
"94",0,0,1,0,0.0507,0.0512,0.0607,0.9336,0,0,0,1,0.0507
"95",0,0,0,1,0.0568,0.0568,0.0755,1,0,0,0,1,0.0568
"96",0,0,1,0,0.0543,0.0545,0.0619,0.9726,0,0,0,1,0.0543
"97",0,0,0,1,0.059,0.059,0.0697,1,0,0,0,1,0.059
"98",0,0,0,1,0.0569,0.0569,0.0676,1,0,0,0,1,0.0569
"99",0,0,0,1,0.0507,0.0507,0.0609,1,0,0,0,1,0.0507
"100",0,1,0,0,0.0524,0.0525,0.0596,0.98,0,0,0,1,0.0524
