"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","match_count_6","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset","match_count_start_30","match_count_start_31","match_count_start_32","match_count_start_33","match_count_start_34","match_count_start_35","match_count_start_36","var_iset_start_3"
"51",0,0,0,0,0,0,1,0.051,0.051,0.066,1,0,0,0,0,0,0,1,0.051
"52",0,0,0,0,0,0,1,0.0487,0.0487,0.0683,1,0,0,0,0,0,0,1,0.0487
"53",0,0,0,0,0,0,1,0.0475,0.0475,0.0696,1,0,0,0,0,0,0,1,0.0475
"54",0,0,0,0,0,0,1,0.0507,0.0507,0.0732,1,0,0,0,0,0,0,1,0.0507
"55",0,0,0,0,0,0,1,0.0504,0.0504,0.066,1,0,0,0,0,0,0,1,0.0504
"56",0,0,0,0,0,0,1,0.046,0.046,0.0592,1,0,0,0,0,0,0,1,0.046
"57",0,0,0,0,0,0,1,0.0484,0.0484,0.0732,1,0,0,0,0,0,0,1,0.0484
"58",0,0,0,0,0,0,1,0.05,0.05,0.068,1,0,0,0,0,0,0,1,0.05
"59",0,0,0,0,0,0,1,0.0461,0.0461,0.0557,1,0,0,0,0,0,0,1,0.0461
"60",0,0,0,0,0,0,1,0.0499,0.0499,0.073,1,0,0,0,0,0,0,1,0.0499
"61",0,0,0,0,0,0,1,0.0446,0.0446,0.059,1,0,0,0,0,0,0,1,0.0446
"62",0,0,0,0,0,0,1,0.0449,0.0449,0.0568,1,0,0,0,0,0,0,1,0.0449
"63",0,0,0,0,0,0,1,0.0447,0.0447,0.0537,1,0,0,0,0,0,0,1,0.0447
"64",0,0,0,0,0,0,1,0.0426,0.0426,0.0506,1,0,0,0,0,0,0,1,0.0426
"65",0,0,0,0,0,1,0,0.0426,0.0427,0.0507,0.9974,0,0,0,0,0,1,0,0.0427
"66",0,0,0,0,0,0,1,0.0467,0.0467,0.0581,1,0,0,0,0,0,0,1,0.0467
"67",0,0,0,0,0,0,1,0.0511,0.0511,0.0745,1,0,0,0,0,0,0,1,0.0511
"68",0,0,0,0,0,0,1,0.0453,0.0453,0.0597,1,0,0,0,0,0,0,1,0.0453
"69",0,0,0,0,0,0,1,0.0451,0.0451,0.0605,1,0,0,0,0,0,0,1,0.0451
"70",0,0,0,0,0,0,1,0.0441,0.0441,0.0536,1,0,0,0,0,0,0,1,0.0441
"71",0,0,0,0,0,1,0,0.0564,0.0566,0.0947,0.991,0,0,0,0,0,1,0,0.0566
"72",0,0,0,0,0,1,0,0.049,0.049,0.0655,0.9986,0,0,0,0,0,1,0,0.049
"73",0,0,0,0,0,0,1,0.0445,0.0445,0.0553,1,0,0,0,0,0,0,1,0.0445
"74",0,0,0,0,0,0,1,0.0468,0.0468,0.0684,1,0,0,0,0,0,0,1,0.0468
"75",0,0,0,0,0,0,1,0.0487,0.0487,0.0687,1,0,0,0,0,0,0,1,0.0487
"76",0,0,0,0,0,0,1,0.0447,0.0447,0.061,1,0,0,0,0,0,0,1,0.0447
"77",0,0,0,0,0,0,1,0.046,0.046,0.0553,1,0,0,0,0,0,0,1,0.046
"78",0,0,0,0,0,0,1,0.0476,0.0476,0.0699,1,0,0,0,0,0,0,1,0.0476
"79",0,0,0,0,0,1,0,0.0486,0.0487,0.0649,0.9986,0,0,0,0,0,1,0,0.0487
"80",0,0,0,0,0,0,1,0.047,0.047,0.0586,1,0,0,0,0,0,0,1,0.047
"81",0,0,0,0,0,0,1,0.0469,0.0469,0.0614,1,0,0,0,0,0,0,1,0.0469
"82",0,0,0,0,0,1,0,0.052,0.0521,0.0754,0.9945,0,0,0,0,0,1,0,0.0521
"83",0,0,0,0,0,0,1,0.0543,0.0543,0.0779,1,0,0,0,0,0,0,1,0.0543
"84",0,0,0,0,0,0,1,0.044,0.044,0.0558,1,0,0,0,0,0,0,1,0.044
"85",0,0,0,0,0,0,1,0.047,0.047,0.067,1,0,0,0,0,0,0,1,0.047
"86",0,0,0,0,0,0,1,0.0463,0.0463,0.0598,1,0,0,0,0,0,0,1,0.0463
"87",0,0,0,0,0,0,1,0.0452,0.0452,0.0572,1,0,0,0,0,0,0,1,0.0452
"88",0,0,0,0,0,0,1,0.046,0.046,0.0609,1,0,0,0,0,0,0,1,0.046
"89",0,0,0,0,0,0,1,0.0422,0.0422,0.0496,1,0,0,0,0,0,0,1,0.0422
"90",0,0,0,0,0,0,1,0.0483,0.0483,0.0665,1,0,0,0,0,0,0,1,0.0483
"91",0,0,0,0,0,0,1,0.0494,0.0494,0.0655,1,0,0,0,0,0,0,1,0.0494
"92",0,0,0,0,0,0,1,0.0508,0.0508,0.0765,1,0,0,0,0,0,0,1,0.0508
"93",0,0,0,0,0,0,1,0.0458,0.0458,0.0572,1,0,0,0,0,0,0,1,0.0458
"94",0,0,0,0,0,0,1,0.0446,0.0446,0.0607,1,0,0,0,0,0,0,1,0.0446
"95",0,0,0,0,0,0,1,0.0492,0.0492,0.0755,1,0,0,0,0,0,0,1,0.0492
"96",0,0,0,0,0,0,1,0.0483,0.0483,0.0619,1,0,0,0,0,0,1,0,0.0484
"97",0,0,0,0,0,0,1,0.0509,0.0509,0.0697,1,0,0,0,0,0,0,1,0.0509
"98",0,0,0,0,0,0,1,0.049,0.049,0.0676,1,0,0,0,0,0,0,1,0.049
"99",0,0,0,0,0,0,1,0.0463,0.0463,0.0609,1,0,0,0,0,0,0,1,0.0463
"100",0,0,0,0,0,0,1,0.0466,0.0466,0.0596,1,0,0,0,0,0,0,1,0.0466
