"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset","match_count_start_30","match_count_start_31","match_count_start_32","match_count_start_33","match_count_start_34","var_iset_start_3"
"69",0,0,0,0,1,0.0483,0.0483,0.0605,1,0,0,0,0,1,0.0483
"70",0,0,0,0,1,0.0464,0.0464,0.0536,1,0,0,0,0,1,0.0464
"71",0,0,0,0,1,0.0627,0.0627,0.0947,1,0,0,0,0,1,0.0627
"72",0,0,0,0,1,0.0528,0.0528,0.0655,1,0,0,0,0,1,0.0528
"73",0,0,0,0,1,0.0469,0.0469,0.0553,1,0,0,0,0,1,0.0469
"74",0,0,0,0,1,0.0512,0.0512,0.0684,1,0,0,0,0,1,0.0512
"75",0,0,0,0,1,0.0524,0.0524,0.0687,1,0,0,0,0,1,0.0524
"76",0,0,0,0,1,0.0474,0.0474,0.061,1,0,0,0,0,1,0.0474
"77",0,0,0,1,0,0.0484,0.0486,0.0553,0.9718,0,0,0,1,0,0.0486
"78",0,0,0,0,1,0.0511,0.0511,0.0699,1,0,0,0,0,1,0.0511
"79",0,0,0,0,1,0.0516,0.0516,0.0649,1,0,0,0,0,1,0.0516
"80",0,0,0,0,1,0.0493,0.0493,0.0586,1,0,0,0,0,1,0.0493
"81",0,0,0,0,1,0.0498,0.0498,0.0614,1,0,0,0,0,1,0.0498
"82",0,0,0,0,1,0.0567,0.0567,0.0754,1,0,0,0,0,1,0.0567
"83",0,0,0,0,1,0.058,0.058,0.0779,1,0,0,0,0,1,0.058
"84",0,0,1,0,0,0.0468,0.0468,0.0558,0.9957,0,0,1,0,0,0.0468
"85",0,0,0,0,1,0.05,0.05,0.067,1,0,0,0,0,1,0.05
"86",0,0,0,0,1,0.0494,0.0494,0.0598,1,0,0,0,0,1,0.0494
"87",0,0,0,0,1,0.0481,0.0481,0.0572,1,0,0,0,1,0,0.0481
"88",0,0,0,0,1,0.0492,0.0492,0.0609,1,0,0,0,0,1,0.0492
"89",0,0,0,0,1,0.0438,0.0438,0.0496,1,0,0,0,0,1,0.0438
"90",0,0,0,0,1,0.0519,0.0519,0.0665,1,0,0,0,0,1,0.0519
"91",0,0,0,1,0,0.0532,0.0533,0.0655,0.9956,0,0,0,1,0,0.0533
"92",0,0,0,0,1,0.0557,0.0557,0.0765,1,0,0,0,0,1,0.0557
"93",0,0,0,0,1,0.0487,0.0487,0.0572,1,0,0,0,0,1,0.0487
"94",0,0,0,0,1,0.048,0.048,0.0607,1,0,0,0,0,1,0.048
"95",0,0,0,0,1,0.0539,0.0539,0.0755,1,0,0,0,0,1,0.0539
"96",0,0,0,0,1,0.0519,0.0519,0.0619,1,0,0,0,1,0,0.052
"97",0,0,0,1,0,0.0553,0.0557,0.0697,0.971,0,0,0,1,0,0.0557
"98",0,0,0,0,1,0.0531,0.0531,0.0676,1,0,0,0,0,1,0.0531
"99",0,0,0,0,1,0.0492,0.0492,0.0609,1,0,0,0,0,1,0.0492
"100",0,0,0,0,1,0.0501,0.0501,0.0596,1,0,0,0,1,0,0.0501
