"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","match_count_6","match_count_7","match_count_8","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset","match_count_start_30","match_count_start_31","match_count_start_32","match_count_start_33","match_count_start_34","match_count_start_35","match_count_start_36","match_count_start_37","match_count_start_38","var_iset_start_3"
"51",0,0,0,0,0,0,0,0,1,0.0491,0.0491,0.066,1,0,0,0,0,0,0,0,0,1,0.0491
"52",0,0,0,0,0,0,0,0,1,0.046,0.046,0.0683,1,0,0,0,0,0,0,0,0,1,0.046
"53",0,0,0,0,0,0,0,0,1,0.0455,0.0455,0.0695,1,0,0,0,0,0,0,0,0,1,0.0455
"54",0,0,0,0,0,0,0,0,1,0.0475,0.0475,0.0732,1,0,0,0,0,0,0,0,0,1,0.0475
"55",0,0,0,0,0,0,0,0,1,0.0477,0.0477,0.066,1,0,0,0,0,0,0,0,0,1,0.0477
"56",0,0,0,0,0,0,0,0,1,0.0435,0.0435,0.0592,1,0,0,0,0,0,0,0,0,1,0.0435
"57",0,0,0,0,0,0,0,0,1,0.045,0.045,0.0731,1,0,0,0,0,0,0,0,0,1,0.045
"58",0,0,0,0,0,0,0,0,1,0.0472,0.0472,0.0679,1,0,0,0,0,0,0,0,0,1,0.0472
"59",0,0,0,0,0,0,0,1,0,0.0441,0.0441,0.0557,0.9916,0,0,0,0,0,0,0,1,0,0.0441
"60",0,0,0,0,0,0,0,0,1,0.0469,0.0469,0.073,1,0,0,0,0,0,0,0,0,1,0.0469
"61",0,0,0,0,0,0,0,0,1,0.043,0.043,0.059,1,0,0,0,0,0,0,0,0,1,0.043
"62",0,0,0,0,0,0,0,0,1,0.0427,0.0427,0.0568,1,0,0,0,0,0,0,0,0,1,0.0427
"63",0,0,0,0,0,0,0,0,1,0.0429,0.0429,0.0536,1,0,0,0,0,0,0,0,0,1,0.0429
"64",0,0,0,0,0,0,0,0,1,0.0413,0.0413,0.0506,1,0,0,0,0,0,0,0,0,1,0.0413
"65",0,0,0,0,0,0,0,0,1,0.0411,0.0411,0.0506,1,0,0,0,0,0,0,0,0,1,0.0411
"66",0,0,0,0,0,0,0,0,1,0.0446,0.0446,0.0581,1,0,0,0,0,0,0,0,0,1,0.0446
"67",0,0,0,0,0,0,0,0,1,0.0476,0.0476,0.0744,1,0,0,0,0,0,0,0,0,1,0.0476
"68",0,0,0,0,0,0,0,0,1,0.0426,0.0426,0.0597,1,0,0,0,0,0,0,0,0,1,0.0426
"69",0,0,0,0,0,0,0,0,1,0.0428,0.0428,0.0604,1,0,0,0,0,0,0,0,0,1,0.0428
"70",0,0,0,0,0,0,0,0,1,0.0422,0.0422,0.0535,1,0,0,0,0,0,0,0,0,1,0.0422
"71",0,0,0,0,0,0,0,0,1,0.0516,0.0516,0.0947,1,0,0,0,0,0,0,0,0,1,0.0516
"72",0,0,0,0,0,0,0,0,1,0.0459,0.0459,0.0655,1,0,0,0,0,0,0,0,0,1,0.0459
"73",0,0,0,0,0,0,0,0,1,0.0427,0.0427,0.0553,1,0,0,0,0,0,0,0,0,1,0.0427
"74",0,0,0,0,0,0,0,0,1,0.0443,0.0443,0.0683,1,0,0,0,0,0,0,0,0,1,0.0443
"75",0,0,0,0,0,0,0,0,1,0.0458,0.0458,0.0686,1,0,0,0,0,0,0,0,0,1,0.0458
"76",0,0,0,0,0,0,0,0,1,0.043,0.043,0.0609,1,0,0,0,0,0,0,0,0,1,0.043
"77",0,0,0,0,0,0,0,0,1,0.0438,0.0438,0.0553,1,0,0,0,0,0,0,0,0,1,0.0438
"78",0,0,0,0,0,0,0,0,1,0.0449,0.0449,0.0698,1,0,0,0,0,0,0,0,0,1,0.0449
"79",0,0,0,0,0,0,0,0,1,0.0462,0.0462,0.0649,1,0,0,0,0,0,0,0,0,1,0.0462
"80",0,0,0,0,0,0,0,0,1,0.0453,0.0453,0.0585,1,0,0,0,0,0,0,0,0,1,0.0453
"81",0,0,0,0,0,0,0,0,1,0.0448,0.0448,0.0613,1,0,0,0,0,0,0,0,0,1,0.0448
"82",0,0,0,0,0,0,0,0,1,0.0483,0.0483,0.0754,1,0,0,0,0,0,0,0,0,1,0.0483
"83",0,0,0,0,0,0,0,0,1,0.0513,0.0513,0.0779,1,0,0,0,0,0,0,0,0,1,0.0513
"84",0,0,0,0,0,0,0,0,1,0.0423,0.0423,0.0557,1,0,0,0,0,0,0,0,0,1,0.0423
"85",0,0,0,0,0,0,0,0,1,0.0446,0.0446,0.0669,1,0,0,0,0,0,0,0,0,1,0.0446
"86",0,0,0,0,0,0,0,1,0,0.044,0.044,0.0598,0.9968,0,0,0,0,0,0,0,1,0,0.044
"87",0,0,0,0,0,0,0,0,1,0.043,0.043,0.0572,1,0,0,0,0,0,0,0,0,1,0.043
"88",0,0,0,0,0,0,0,0,1,0.0435,0.0435,0.0608,1,0,0,0,0,0,0,0,0,1,0.0435
"89",0,0,0,0,0,0,0,1,0,0.0409,0.0409,0.0495,0.9948,0,0,0,0,0,0,0,1,0,0.0409
"90",0,0,0,0,0,0,0,0,1,0.0458,0.0458,0.0665,1,0,0,0,0,0,0,0,0,1,0.0458
"91",0,0,0,0,0,0,0,1,0,0.0467,0.0468,0.0655,0.9985,0,0,0,0,0,0,0,1,0,0.0468
"92",0,0,0,0,0,0,0,0,1,0.047,0.047,0.0764,1,0,0,0,0,0,0,0,0,1,0.047
"93",0,0,0,0,0,0,0,0,1,0.0436,0.0436,0.0572,1,0,0,0,0,0,0,0,0,1,0.0436
"94",0,0,0,0,0,0,0,0,1,0.0426,0.0426,0.0606,1,0,0,0,0,0,0,0,0,1,0.0426
"95",0,0,0,0,0,0,0,0,1,0.0459,0.0459,0.0755,1,0,0,0,0,0,0,0,0,1,0.0459
"96",0,0,0,0,0,0,0,0,1,0.0453,0.0453,0.0618,1,0,0,0,0,0,0,0,0,1,0.0453
"97",0,0,0,0,0,0,0,0,1,0.048,0.048,0.0697,1,0,0,0,0,0,0,0,0,1,0.048
"98",0,0,0,0,0,0,0,0,1,0.0463,0.0463,0.0676,1,0,0,0,0,0,0,0,0,1,0.0463
"99",0,0,0,0,0,0,0,0,1,0.0443,0.0443,0.0609,1,0,0,0,0,0,0,0,0,1,0.0443
"100",0,0,0,0,0,0,0,0,1,0.044,0.044,0.0596,1,0,0,0,0,0,0,0,0,1,0.044
