"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","match_count_6","match_count_7","match_count_8","match_count_9","match_count_10","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset","match_count_start_30","match_count_start_31","match_count_start_32","match_count_start_33","match_count_start_34","match_count_start_35","match_count_start_36","match_count_start_37","match_count_start_38","match_count_start_39","match_count_start_310","var_iset_start_3"
"44",0,0,0,0,0,0,0,0,0,0,1,0.0463,0.0463,0.0875,1,0,0,0,0,0,0,0,0,0,0,1,0.0463
"45",0,0,0,0,0,0,0,0,0,0,1,0.0408,0.0408,0.0589,1,0,0,0,0,0,0,0,0,0,0,1,0.0408
"46",0,0,0,0,0,0,0,0,0,0,1,0.0458,0.0458,0.0745,1,0,0,0,0,0,0,0,0,0,0,1,0.0458
"47",0,0,0,0,0,0,0,0,0,0,1,0.0429,0.0429,0.0635,1,0,0,0,0,0,0,0,0,0,0,1,0.0429
"48",0,0,0,0,0,0,0,0,0,0,1,0.043,0.043,0.0639,1,0,0,0,0,0,0,0,0,0,0,1,0.043
"49",0,0,0,0,0,0,0,0,0,0,1,0.0428,0.0428,0.0644,1,0,0,0,0,0,0,0,0,0,0,1,0.0428
"50",0,0,0,0,0,0,0,0,0,0,1,0.0412,0.0412,0.0613,1,0,0,0,0,0,0,0,0,0,0,1,0.0412
"51",0,0,0,0,0,0,0,0,0,0,1,0.0475,0.0475,0.066,1,0,0,0,0,0,0,0,0,0,0,1,0.0475
"52",0,0,0,0,0,0,0,0,0,1,0,0.0439,0.0439,0.068,0.9997,0,0,0,0,0,0,0,0,0,1,0,0.0439
"53",0,0,0,0,0,0,0,0,0,0,1,0.044,0.044,0.0693,1,0,0,0,0,0,0,0,0,0,0,1,0.044
"54",0,0,0,0,0,0,0,0,0,1,0,0.0451,0.0451,0.0731,0.9979,0,0,0,0,0,0,0,0,0,1,0,0.0451
"55",0,0,0,0,0,0,0,0,0,0,1,0.0459,0.0459,0.066,1,0,0,0,0,0,0,0,0,0,0,1,0.0459
