"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset","match_count_start_30","match_count_start_31","match_count_start_32","match_count_start_33","match_count_start_34","match_count_start_35","var_iset_start_3"
"64",0,0,0,0,0,1,0.0434,0.0434,0.0506,1,0,0,0,0,0,1,0.0434
"65",0,0,0,0,0,1,0.0437,0.0437,0.0507,1,0,0,0,0,0,1,0.0437
"66",0,0,0,0,0,1,0.048,0.048,0.0581,1,0,0,0,0,0,1,0.048
"67",0,0,0,0,1,0,0.0534,0.0535,0.0745,0.9941,0,0,0,0,1,0,0.0535
"68",0,0,0,0,0,1,0.0468,0.0468,0.0597,1,0,0,0,0,0,1,0.0468
"69",0,0,0,0,0,1,0.0465,0.0465,0.0605,1,0,0,0,0,0,1,0.0465
"70",0,0,0,0,1,0,0.0452,0.0452,0.0536,0.9953,0,0,0,0,1,0,0.0452
"71",0,0,0,1,0,0,0.0592,0.0593,0.0947,0.9924,0,0,0,1,0,0,0.0593
"72",0,0,0,0,0,1,0.0506,0.0506,0.0655,1,0,0,0,0,0,1,0.0506
"73",0,0,0,0,0,1,0.0455,0.0455,0.0553,1,0,0,0,0,0,1,0.0455
"74",0,0,0,0,0,1,0.049,0.049,0.0684,1,0,0,0,0,0,1,0.049
"75",0,0,0,0,0,1,0.0505,0.0505,0.0687,1,0,0,0,0,0,1,0.0505
"76",0,0,0,0,0,1,0.046,0.046,0.061,1,0,0,0,0,0,1,0.046
"77",0,0,0,0,0,1,0.0471,0.0471,0.0553,1,0,0,0,0,0,1,0.0471
"78",0,0,0,0,0,1,0.049,0.049,0.0699,1,0,0,0,0,0,1,0.049
"79",0,0,0,0,0,1,0.05,0.05,0.0649,1,0,0,0,0,0,1,0.05
"80",0,0,0,0,0,1,0.0479,0.0479,0.0586,1,0,0,0,0,0,1,0.0479
"81",0,0,0,0,1,0,0.0483,0.0484,0.0614,0.9904,0,0,0,0,1,0,0.0484
"82",0,0,0,0,0,1,0.0542,0.0542,0.0754,1,0,0,0,0,0,1,0.0542
"83",0,0,0,0,0,1,0.0559,0.0559,0.0779,1,0,0,0,0,0,1,0.0559
"84",0,0,0,0,1,0,0.0452,0.0454,0.0558,0.9664,0,0,0,0,1,0,0.0454
"85",0,0,0,0,1,0,0.0483,0.0485,0.067,0.9916,0,0,0,0,1,0,0.0485
"86",0,0,0,0,0,1,0.0475,0.0475,0.0598,1,0,0,0,0,0,1,0.0475
"87",0,0,0,0,0,1,0.0467,0.0467,0.0572,1,0,0,0,0,0,1,0.0467
"88",0,0,0,0,0,1,0.0478,0.0478,0.0609,1,0,0,0,0,0,1,0.0478
"89",0,0,0,0,0,1,0.0431,0.0431,0.0496,1,0,0,0,0,0,1,0.0431
"90",0,0,0,0,1,0,0.0499,0.0499,0.0665,0.9982,0,0,0,0,1,0,0.0499
"91",0,0,0,0,1,0,0.0511,0.0512,0.0655,0.9907,0,0,0,0,1,0,0.0512
"92",0,0,0,0,0,1,0.0528,0.0528,0.0765,1,0,0,0,0,0,1,0.0528
"93",0,0,0,0,0,1,0.0474,0.0474,0.0572,1,0,0,0,0,0,1,0.0474
"94",0,0,0,0,0,1,0.0459,0.0459,0.0607,1,0,0,0,0,0,1,0.0459
"95",0,0,0,0,1,0,0.0515,0.0515,0.0755,0.9986,0,0,0,0,1,0,0.0515
"96",0,0,0,1,0,0,0.0502,0.0503,0.0619,0.9842,0,0,0,0,0,1,0.0502
"97",0,0,0,0,0,1,0.0531,0.0531,0.0697,1,0,0,0,0,0,1,0.0531
"98",0,0,0,0,0,1,0.0512,0.0512,0.0676,1,0,0,0,0,0,1,0.0512
"99",0,0,0,0,0,1,0.0475,0.0475,0.0609,1,0,0,0,0,0,1,0.0475
"100",0,0,0,0,1,0,0.0483,0.0487,0.0596,0.9596,0,0,0,0,0,1,0.0483
