"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",0,-0.0850483547520202,0,-0.127346096399974
"theta.hat.ipd20",-0.028218973899796,-0.0848666544027629,-0.069297528767441,-0.13225203144398
"theta.hat.ipd40",-0.0112836526609361,-0.0848173208762296,-0.0509430199006697,-0.138140295356934
"theta.hat.ipd60",-0.0140286155240122,-0.0849865258491507,-0.0500647379091497,-0.143471811868201
"theta.hat.ipd80",-0.0132934274019135,-0.0850189339476842,-0.049599594679431,-0.148726181213981
"theta.hat.ipd100",-0.0137106074854636,-0.0854007942210582,-0.0489688792490146,-0.154952145983598
