"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",0,0.02119692423732,0,0.0349068973139278
"theta.hat.ipd20",0.0523201401057181,0.0210886934258012,0.0529746333111479,0.0358448799032842
"theta.hat.ipd40",0.0258014094225724,0.0209868348199587,0.0299962009600181,0.0367342998367741
"theta.hat.ipd60",0.0180959122388031,0.020911869262289,0.021996794985481,0.0377705017601604
"theta.hat.ipd80",0.0137846928142975,0.0208944844009491,0.0171877254539641,0.0390116707436033
"theta.hat.ipd100",0.0109181683491056,0.0208374927666444,0.0148958362465898,0.0402049102511559
