"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",Inf,0.983043225203271,Inf,1.15177553277169
"theta.hat.ipd20",0.208680028896031,0.988088372566055,0.281188095424817,1.12163607074806
"theta.hat.ipd40",0.423161702924408,0.992884012544268,0.496590760491451,1.09447874138893
"theta.hat.ipd60",0.603349983411931,0.996443335853352,0.677182119323373,1.06445263836985
"theta.hat.ipd80",0.792050174508154,0.997272407722008,0.866655467966779,1.03058673173459
"theta.hat.ipd100",1,1,1,1
