,alpha,beta,sigma.alpha,sigma.beta,,
theta.hat.ipd0.1,NA,0.98301924,NA,1.151699922,,0.983
theta.hat.ipd20.1,0.208663883,0.988141385,0.281268826,1.121563667,,0.988
theta.hat.ipd40.1,0.423174053,0.992846179,0.496638949,1.094391114,,0.993
theta.hat.ipd60.1,0.603360455,0.996428095,0.677227818,1.064550571,,0.996
theta.hat.ipd80.1,0.792119905,0.997259809,0.866678208,1.030545821,,0.997
theta.hat.ipd100.1,1,1,1,1,,1
