"","alpha","beta","sigma.alpha","sigma.beta","V5","V6","V7","V8"
"theta.hat.ipd0",0.5,0.41495164524798,0.5,0.372653903600026,0,0.0136685193420041,0,0.0196807199116526
"theta.hat.ipd20",0.471781026100204,0.415133345597237,0.430702471232559,0.36774796855602,0.0497164023780628,0.0135778500853218,0.0625457477360906,0.0193532299898201
"theta.hat.ipd40",0.488716347339064,0.41518267912377,0.44905698009933,0.361859704643066,0.0258408941056343,0.0134658443248051,0.0310026438977177,0.0189314502781463
"theta.hat.ipd60",0.485971384475988,0.415013474150849,0.44993526209085,0.356528188131799,0.0173220058868767,0.0133656542817154,0.0202143232969055,0.0185595982093115
"theta.hat.ipd80",0.486706572598086,0.414981066052316,0.450400405320569,0.351273818786019,0.0130333967943551,0.0132672212434608,0.0149255584353236,0.0182041184501269
"theta.hat.ipd100",0.486289392514536,0.414599205778942,0.451031120750985,0.345047854016402,0.0104585653134716,0.0131486115851814,0.0118422163016991,0.0177783324226058
