"","optim 1","optim 2","optim 3","optim 4","optim 5","ratio","sub optim 1","sub optim 2","sub optim 3","sub optim 4","sub optim 5"
"125",26,28,31,36,49,1,26,28,31,36,49
"126",6,16,20,34,44,1,6,16,20,34,44
"127",6,15,20,21,22,1,6,15,20,21,22
"128",8,24,27,31,38,1,8,24,27,31,38
"129",10,15,26,35,43,1,10,15,26,35,43
"130",7,13,14,21,40,1,7,13,14,21,40
"131",1,2,7,28,35,1,1,2,7,28,35
"132",9,10,18,44,49,1,9,10,18,44,49
"133",5,13,24,32,49,1,5,13,24,32,49
"134",2,3,39,40,50,1,2,3,39,40,50
"135",4,12,17,30,46,0.996,4,5,12,17,30
"136",2,26,32,34,43,1,2,26,32,34,43
"137",6,34,37,41,42,1,6,34,37,41,42
"138",12,19,21,40,42,1,12,19,21,40,42
"139",2,21,46,47,49,1,2,21,46,47,49
"140",1,9,18,32,39,1,1,9,18,32,39
"141",2,24,31,42,44,1,2,24,31,42,44
"142",11,14,17,49,50,1,11,14,17,49,50
"143",2,5,9,15,23,1,2,5,9,15,23
"144",3,17,25,34,50,0.999,3,17,34,48,50
"145",14,26,30,42,48,1,14,26,30,42,48
"146",2,18,27,38,49,1,2,18,27,38,49
"147",1,3,13,22,30,0.982,1,3,13,22,25
"148",8,16,17,20,22,1,8,16,17,20,22
"149",1,11,14,43,45,1,1,11,14,43,45
"150",28,30,34,37,39,1,28,30,34,37,39
"151",12,28,36,37,42,1,12,28,36,37,42
"152",4,11,20,27,31,1,4,11,20,27,31
"153",1,21,33,34,41,1,1,21,33,34,41
"154",5,12,14,27,33,1,5,12,14,27,33
"155",1,3,10,12,23,1,1,3,10,12,23
"156",13,26,29,35,43,1,13,26,29,35,43
"157",5,14,20,31,50,1,5,14,20,31,50
"158",2,15,25,36,49,1,2,15,25,36,49
"159",7,39,45,46,49,1,7,39,45,46,49
"160",25,30,45,46,48,1,25,30,45,46,48
"161",9,23,27,28,34,1,9,23,27,28,34
"162",2,3,4,16,44,0.995,2,4,16,17,44
"163",14,26,29,44,45,1,14,26,29,44,45
"164",3,7,10,25,41,0.981,7,10,15,25,41
