"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",NA,-0.0616787845748589,NA,-0.0981155527227707
"theta.hat.ipd20",-0.0300033894943818,-0.0622087361158555,-0.0548825703179685,-0.101809330953009
"theta.hat.ipd40",-0.0211968303533611,-0.0607026743013254,-0.0515612162663731,-0.108381004242876
"theta.hat.ipd60",-0.0215950857502116,-0.0589241789551115,-0.0539168418950286,-0.115278568325939
"theta.hat.ipd80",-0.0236588580264951,-0.0563007978069619,-0.0545964411958133,-0.119511963451691
"theta.hat.ipd100",-0.0265196398511561,-0.0521875273883284,-0.065455262384705,-0.10858684873118
