"","V5","V6","V7","V8"
"theta.hat.ipd0",NA,0.00771758983176618,NA,0.0115601763869968
"theta.hat.ipd20",0.0249125546068376,0.00767519216499047,0.0292909418965075,0.0113975181083511
"theta.hat.ipd40",0.0128418311395296,0.00759107441161817,0.0146978916299597,0.0111157134007899
"theta.hat.ipd60",0.00868705737267613,0.00750261710555638,0.0098204690320805,0.0107624495017234
"theta.hat.ipd80",0.00665866598395177,0.0074377688609797,0.00746323216926992,0.0103864481449555
"theta.hat.ipd100",0.00564617567780861,0.00732874885197179,0.00755433266084717,0.00944823967730008
