"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",NA,-0.0699188615562713,NA,-0.105256373171696
"theta.hat.ipd20",-0.012220768484801,-0.0703942897825023,-0.0781870969681702,-0.108617506633822
"theta.hat.ipd40",-0.0209415619809274,-0.0690696834407136,-0.0580230225876092,-0.115343821677205
"theta.hat.ipd60",-0.0222591369766635,-0.0671227826076675,-0.055701647784456,-0.121268071784341
"theta.hat.ipd80",-0.0189895729306005,-0.0639196947067936,-0.0576070547929273,-0.126094345413072
"theta.hat.ipd100",-0.0225173424089021,-0.0596020521856276,-0.0646605609555032,-0.111025343873469
