"","V5","V6","V7","V8"
"theta.hat.ipd0",NA,0.0155081065679165,NA,0.0236365824469297
"theta.hat.ipd20",0.0474535888576356,0.0154305026239337,0.0596679383057581,0.0233177840517787
"theta.hat.ipd40",0.0253856145133732,0.0152487354235701,0.0304545654909198,0.0227007494678179
"theta.hat.ipd60",0.0173133224757937,0.0150949937539881,0.0202681013160252,0.0220810207711994
"theta.hat.ipd80",0.0132730470165533,0.0149406900677307,0.0151719832737214,0.0212570828565305
"theta.hat.ipd100",0.011358966602758,0.0147678865077325,0.0120008220446688,0.0189601028607918
