"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",NA,0.0209876923828592,NA,0.0355917977272762
"theta.hat.ipd20",0.0493814426644941,0.0210003187872122,0.0624829937259743,0.035893688858299
"theta.hat.ipd40",0.0260888881850973,0.0206610142969318,0.0323601170824742,0.0364049177561768
"theta.hat.ipd60",0.0183065416228155,0.0202158657006379,0.0225561396575232,0.0370496343508188
"theta.hat.ipd80",0.0136943734001874,0.0197892896984572,0.0175080747358932,0.0373999480439626
"theta.hat.ipd100",0.0123622428821661,0.0194316783593213,0.0159383438893576,0.0321494753056748
