"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",NA,0.925860642744661,NA,0.903283266330678
"theta.hat.ipd20",0.250341873690432,0.925303970678477,0.255082910387695,0.895686019695395
"theta.hat.ipd40",0.473850889867655,0.940499729590086,0.492530476596748,0.883108032848667
"theta.hat.ipd60",0.675291004542276,0.96120931188755,0.706607785346002,0.867740690805611
"theta.hat.ipd80",0.902724244542428,0.981929046237379,0.910342463679487,0.859612833362335
"theta.hat.ipd100",1,1,1,1
