"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",NA,-0.0181793910190254,NA,-0.0334088520039845
"theta.hat.ipd20",-0.00149407471375312,-0.0179558184749524,-0.0136610827282619,-0.0338908208304216
"theta.hat.ipd40",0.00425996250835114,-0.0172141643185568,-0.00504776979915167,-0.0344062202397108
"theta.hat.ipd60",0.00441012686830355,-0.0163014418888802,-0.0052019080282753,-0.0347979208041156
"theta.hat.ipd80",0.00490779904834282,-0.0150361440783112,-0.00451502266246528,-0.0352298049012799
"theta.hat.ipd100",0.00163411908722932,-0.0117719055509624,-0.00741321012442708,-0.0354834783372866
