"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",NA,0.972649942104886,NA,1.00509406250339
"theta.hat.ipd20",0.199944882975889,0.974681328010329,0.198115899535811,1.00385163774853
"theta.hat.ipd40",0.40174985840974,0.979249149946551,0.411403025735335,0.997773858607402
"theta.hat.ipd60",0.606887181128375,0.98636327740171,0.594727222708225,0.995217182398768
"theta.hat.ipd80",0.81861382773243,0.994456980656309,0.798319280376078,0.993887591734046
"theta.hat.ipd100",1,1,1,1
