"","alpha","beta","sigma.alpha","sigma.beta"
"theta.hat.ipd0",NA,0.0058469710029807,NA,0.00716652598016702
"theta.hat.ipd20",0.0246927465520763,0.00583478501547518,0.0249784117917868,0.00717539568655521
"theta.hat.ipd40",0.0122892098562305,0.00580756797986348,0.0120286439611392,0.00721910345646407
"theta.hat.ipd60",0.00813526545498712,0.00576568099992432,0.00832082395450319,0.00723764906679037
"theta.hat.ipd80",0.00603115675847335,0.00571875517811223,0.00619879870466679,0.00724733135955041
"theta.hat.ipd100",0.00493718831970818,0.00568705600753812,0.00494862052110575,0.00720303271144219
