"","alpha","beta","sigma.alpha","sigma.beta","V5","V6","V7","V8"
"theta.hat.ipd0",NA,0.481820608980975,NA,0.466591147996015,NA,0.00545743488940874,NA,0.00621463143819857
"theta.hat.ipd20",0.498505925286247,0.482044181525048,0.486338917271738,0.466109179169578,0.0248598881454251,0.0054525479937002,0.0275225381525845,0.00620428280051256
"theta.hat.ipd40",0.504259962508351,0.482785835681443,0.494952230200848,0.465593779760289,0.0127136831263556,0.00544712945140637,0.0137224892107376,0.00619413903613962
"theta.hat.ipd60",0.504410126868304,0.48369855811112,0.494798091971725,0.465202079195884,0.00850775010112122,0.00544290763059312,0.00909882422250519,0.00618546876136148
"theta.hat.ipd80",0.504907799048343,0.484963855921689,0.495484977337535,0.46477019509872,0.00641831835334223,0.00543802347156793,0.00686070610560767,0.0061722769274221
"theta.hat.ipd100",0.501634119087229,0.488228094449038,0.492586789875573,0.464516521662713,0.00523845432361354,0.00541707910024869,0.00567586593108876,0.00610224160906346
