"","V5","V6","V7","V8"
"theta.hat.ipd0",NA,0.00545743488940874,NA,0.00621463143819857
"theta.hat.ipd20",0.0248598881454251,0.0054525479937002,0.0275225381525845,0.00620428280051256
"theta.hat.ipd40",0.0127136831263556,0.00544712945140637,0.0137224892107376,0.00619413903613962
"theta.hat.ipd60",0.00850775010112122,0.00544290763059312,0.00909882422250519,0.00618546876136148
"theta.hat.ipd80",0.00641831835334223,0.00543802347156793,0.00686070610560767,0.0061722769274221
"theta.hat.ipd100",0.00523845432361354,0.00541707910024869,0.00567586593108876,0.00610224160906346
